ID	Raff_UFBP	Apo_UFBP	median_root2tip	min_raff_root2tip	raff_brlen	raff_dist2root	min_apo_root2tip	apo_brlen	raff_apo_nomophyly
0	25	46	0.301026428	0.503490526	0.028687516	4	0.546586191	0.006811171	N
2	37	NA	0.386738373	0.679412575	0.019858031	6	NA	NA	NA
3	61	81	0.406112099	0.575302132	0.011192671	7	0.838651229	0.145250149	N
4	96	NA	0.219406265	0.449563203	0.025434565	2	NA	NA	NA
5	18	NA	0.386168136	0.544601856	2.76E-06	3	NA	NA	NA
6	66	NA	0.27521171	0.809132	0.048072806	6	NA	NA	NA
9	87	87	0.353947508	0.653906393	0.067421261	9	0.656029837	0.067421261	Y
10	22	39	0.367738137	0.702950665	0.035662017	7	0.678110157	0.040688261	N
12	54	NA	0.436907227	0.788821053	0.032536427	6	NA	NA	NA
13	56	48	0.346218861	0.65375871	0.033103909	8	0.71504893	0.022944437	N
14	63	NA	0.282611313	0.463446219	0.029124728	5	NA	NA	NA
15	37	62	0.3559982	0.588527927	0.014713625	8	1.174904925	0.0970328	N
16	11	50	0.262413166	0.370671753	0.004839103	6	0.498274083	0.037760044	N
17	79	NA	0.170639332	0.330643244	0.030205375	7	NA	NA	NA
18	12	NA	0.481848399	0.829407964	0.003366131	6	NA	NA	NA
19	13	NA	0.202391733	1.507019667	2.10E-06	4	NA	NA	NA
21	59	NA	0.328766607	0.718863646	0.021048838	6	NA	NA	NA
22	33	30	0.296011279	0.566067455	0.008119567	8	0.583634389	0.00867171	N
23	99	NA	0.22442351	0.350654651	0.019930676	2	NA	NA	NA
24	87	NA	0.61890552	0.908017757	0.043541361	3	NA	NA	NA
25	47	NA	0.185778592	0.359963144	0.002285568	6	NA	NA	NA
26	71	43	0.399329924	0.574249202	0.072670492	9	0.908784924	0.066249041	N
28	36	74	0.263765519	0.422328887	0.007466305	8	0.528688572	0.026005705	N
29	21	NA	0.185623424	0.580786757	0.024633323	6	NA	NA	NA
30	67	73	0.309376983	0.553691804	0.032241648	7	0.443212323	0.010526359	N
34	37	30	0.259312612	0.482179815	0.012787436	5	0.520254837	0.008670532	N
35	68	68	0.488492509	0.662575685	0.051876996	9	0.836799176	0.051876996	Y
36	3	24	0.280043821	0.594319727	0.000170845	5	0.537776034	0.009093932	N
37	80	80	0.343870974	0.544137339	0.041492552	4	0.466155457	0.041492552	Y
39	58	58	0.398814443	0.81750922	0.045133701	11	0.988538612	0.045133701	Y
40	63	30	0.322504953	0.535070998	0.034859589	10	0.624413304	0.004550024	N
41	54	80	0.313801526	0.612716472	0.021547216	6	0.81895127	0.015411498	N
42	81	94	0.320017774	0.615523535	0.062927339	7	0.672109068	0.019604511	N
43	59	NA	0.302067033	0.616398293	0.040478271	8	NA	NA	NA
44	96	96	0.371099848	0.640729165	0.052726812	8	0.862157087	0.052726812	Y
45	48	48	0.367690965	0.642646995	0.052972979	8	0.767933001	0.052972979	Y
46	88	82	0.361459635	0.738192858	0.010749014	5	0.763916709	0.04272553	N
47	88	88	0.39567189	0.665808453	0.069500139	9	0.825443954	0.069500139	Y
48	81	NA	0.251131003	0.585878354	0.020640407	6	NA	NA	NA
51	23	45	0.532943299	0.618329853	2.71E-06	3	0.860358995	0.10272487	N
53	37	NA	0.273632419	0.63971986	0.008351613	7	NA	NA	NA
54	21	NA	0.231302789	0.544597496	0.031242254	12	NA	NA	NA
55	66	NA	0.275428081	0.775184274	0.054070375	8	NA	NA	NA
56	92	NA	0.304010115	0.726418921	0.069200881	9	NA	NA	NA
57	63	NA	0.121816866	0.451412264	0.004516724	7	NA	NA	NA
58	53	NA	0.476075531	0.878656917	0.076729737	9	NA	NA	NA
59	24	34	0.269819338	0.527634741	0.008825738	8	0.457723116	0.015842044	N
60	94	94	0.241162679	0.511698828	0.032477279	7	0.570549477	0.032477279	Y
61	49	64	0.284721944	0.544820888	0.00946046	7	0.581599912	0.03817998	N
62	29	53	0.235947919	0.44735323	0.003702598	6	0.4553825	0.007967981	N
65	73	NA	0.232992342	0.389066431	0.024179966	8	NA	NA	NA
66	48	85	0.681238213	0.975369727	0.011254949	8	1.026409168	0.185631913	N
67	62	NA	0.534122873	0.734956503	0.018837933	4	NA	NA	NA
68	55	97	0.545542822	0.784049172	0.040543131	6	0.90774309	0.075348077	N
70	95	NA	0.310622485	0.728526197	0.055078169	8	NA	NA	NA
71	62	66	0.514302682	0.724360538	0.137921217	2	0.833169219	0.031093217	N
72	61	NA	0.443215808	0.622748924	0.014349992	7	NA	NA	NA
73	91	91	0.387875202	0.55872551	0.036234733	6	0.62933083	0.036234733	Y
75	78	79	0.29825227	0.487281207	0.033245853	5	0.659726689	0.012108245	N
76	31	NA	0.288448082	0.584462864	0.007640768	7	NA	NA	NA
81	51	NA	0.254293604	0.458364719	0.021346057	7	NA	NA	NA
82	76	76	0.160283372	0.22407331	0.035402046	3	0.291384475	0.035402046	Y
83	37	35	0.188043545	0.803657376	0.002383764	6	0.539270213	0.017873258	N
84	64	57	0.298026152	0.532478848	0.024326691	9	0.619191629	0.025821327	N
85	78	57	0.242937872	0.434517553	0.024942334	3	0.54765882	0.048691461	N
86	18	NA	0.324565009	0.717989687	0.014418283	5	NA	NA	NA
87	27	96	0.365561077	0.521921014	0.003733136	6	0.596508044	0.051671974	N
93	74	74	0.256702476	0.479156201	0.033413233	8	0.551664597	0.035328943	N
94	30	NA	0.305891044	0.662172099	0.029113158	6	NA	NA	NA
95	31	NA	0.376866397	0.584529065	0.028574218	6	NA	NA	NA
96	53	70	0.677321772	1.657097695	0.170335445	2	0.975932943	0.044169465	N
97	46	NA	0.417347617	0.68645338	0.010969863	4	NA	NA	NA
98	87	87	0.306220365	0.567768467	0.048599683	8	0.572211012	0.048599683	Y
100	90	90	0.20420454	0.386660827	0.022832449	8	0.459429674	0.022832449	Y
101	46	NA	0.386409221	0.863756735	0.018755613	3	NA	NA	NA
102	44	41	0.304138683	0.431575787	0.026813516	3	0.579521247	0.039761093	N
104	89	NA	0.213521956	0.537737035	0.020919626	7	NA	NA	NA
105	75	90	0.189368585	0.554466587	0.085771673	4	0.559669458	0.175650107	Y
106	65	79	0.266409753	0.432220745	0.041163818	7	0.651719142	0.056795157	N
113	41	NA	0.332081728	1.000749842	0.010901522	8	NA	NA	NA
114	45	NA	1.073733182	1.347588265	0.060150651	5	NA	NA	NA
115	76	81	0.39960688	0.636998567	0.017931543	6	0.681075164	0.014460645	N
116	28	28	0.30868118	0.438374554	0.010389188	8	0.416779773	0.010690075	N
117	76	NA	0.382740311	0.723026501	0.021113614	5	NA	NA	NA
118	38	41	0.275643908	0.388887112	0.001066325	7	0.427703813	0.008528001	N
120	27	27	0.332755304	0.753351005	0.034722616	5	0.786632249	0.034722616	Y
121	94	NA	0.419176776	0.767474159	0.121944046	8	NA	NA	NA
123	62	NA	0.345806749	0.790847523	0.033161628	3	NA	NA	NA
124	76	76	0.211632838	0.380477263	0.051889817	8	0.42996228	0.051889817	Y
