ID	BP
73	36.0
688	12.0
2523	28.0
645	32.0
836	21.0
2157	15.0
1129	11.0
1638	16.0
1412	33.0
2374	34.0
423	21.0
2215	69.0
797	38.0
125	11.0
841	0.0
1358	13.0
1460	32.0
1148	0.0
1376	18.0
2950	9.0
1861	46.0
1249	27.0
547	32.0
2808	n5944195
1770	19.0
2107	2.0
2968	n6501009
803	24.0
1044	29.0
185	n2693197
334	82.0
2104	27.0
1494	26.0
2491	10.0
235	83.0
2928	3.0
605	10.0
922	14.0
1113	88.0
1975	92.0
2904	26.0
3086	n6809008
728	12.0
341	7.0
138	17.0
2239	12.0
1134	25.0
2902	22.0
662	46.0
1378	14.0
46	61.0
2286	39.0
2759	33.0
2252	44.0
145	45.0
1687	54.0
418	27.0
2033	11.0
1963	1.0
1420	20.0
256	11.0
2179	33.0
404	31.0
1280	75.0
2409	11.0
1654	16.0
2046	7.0
152	24.0
1533	41.0
10	13.0
955	83.0
1720	3.0
682	33.0
2586	37.0
1218	11.0
516	4.0
513	15.0
1063	16.0
1999	19.0
565	41.0
2545	56.0
831	39.0
2886	2.0
401	24.0
2592	3.0
2850	45.0
2646	8.0
2425	29.0
204	34.0
412	31.0
415	18.0
2127	n3580982
1408	20.0
366	25.0
1645	16.0
390	97.0
1905	17.0
1468	2.0
2500	n4964377
432	21.0
2165	31.0
2827	3.0
781	57.0
580	6.0
247	2.0
758	38.0
2882	23.0
1243	27.0
1167	12.0
254	14.0
420	3.0
2941	39.0
3020	39.0
2810	4.0
710	13.0
2680	22.0
1101	27.0
2322	2.0
1202	54.0
799	25.0
2069	15.0
2152	18.0
1902	19.0
2405	13.0
910	28.0
1693	26.0
2749	18.0
855	17.0
2151	6.0
1388	16.0
399	45.0
1393	81.0
1920	9.0
1856	12.0
2895	12.0
1099	19.0
1564	11.0
1554	17.0
945	17.0
657	37.0
2766	22.0
1713	29.0
2369	15.0
509	45.0
2814	10.0
2490	33.0
2273	26.0
887	7.0
1000	30.0
81	26.0
1492	18.0
1824	7.0
2845	50.0
2160	15.0
1910	7.0
603	12.0
2669	28.0
1771	32.0
2800	n5920320
786	18.0
2268	43.0
838	2.0
2005	63.0
1432	1.0
549	9.0
2485	12.0
2463	12.0
2323	16.0
2892	86.0
2406	1.0
1776	21.0
2573	18.0
2767	52.0
2295	24.0
937	36.0
1787	82.0
488	30.0
2712	46.0
2903	10.0
644	26.0
539	15.0
2436	38.0
1652	56.0
2055	4.0
1436	2.0
2761	12.0
1881	41.0
1898	30.0
1738	100.0
2189	26.0
230	14.0
105	n149913
212	70.0
292	39.0
1395	9.0
2053	13.0
451	18.0
1922	10.0
1211	2.0
715	9.0
2144	32.0
2991	40.0
283	3.0
1976	32.0
1705	17.0
1759	52.0
2947	49.0
1237	21.0
685	10.0
40	44.0
21	33.0
1076	11.0
349	3.0
2364	100.0
276	21.0
825	16.0
924	9.0
2937	22.0
1058	64.0
2693	15.0
912	7.0
184	42.0
1529	31.0
1139	5.0
2542	36.0
421	12.0
1100	36.0
2527	29.0
1170	24.0
1196	13.0
895	n8503758
1263	42.0
670	15.0
2432	39.0
385	5.0
2216	4.0
669	3.0
1522	23.0
2608	37.0
1172	23.0
413	98.0
574	94.0
199	17.0
83	7.0
118	9.0
2720	1.0
699	26.0
2889	57.0
2373	4.0
422	25.0
9	5.0
1519	43.0
2531	100.0
2948	20.0
55	46.0
1414	48.0
158	29.0
1563	27.0
2166	16.0
665	51.0
2699	16.0
1266	10.0
2664	19.0
2162	25.0
400	27.0
435	20.0
1287	18.0
1488	25.0
2763	19.0
1629	25.0
346	19.0
888	14.0
2964	44.0
2032	2.0
2603	35.0
305	11.0
239	45.0
3074	18.0
2921	34.0
579	72.0
1774	9.0
84	n8345394
1791	95.0
624	11.0
448	55.0
15	12.0
1547	2.0
2288	25.0
2197	9.0
985	17.0
914	39.0
70	n7970566
1106	37.0
3043	36.0
1970	13.0
2652	8.0
2340	23.0
124	23.0
656	31.0
2819	50.0
2628	4.0
1947	8.0
28	20.0
12	10.0
393	29.0
359	13.0
694	4.0
2075	6.0
101	25.0
2248	43.0
798	19.0
735	12.0
1069	24.0
3002	10.0
1755	23.0
2643	28.0
75	0.0
1762	34.0
2402	78.0
1109	19.0
1573	21.0
1903	22.0
2026	21.0
2015	39.0
2836	n6043401
1447	16.0
1937	40.0
626	52.0
2333	46.0
487	15.0
619	24.0
2198	59.0
2190	12.0
997	42.0
465	39.0
1233	52.0
1183	4.0
2752	19.0
801	32.0
1641	20.0
2114	20.0
2018	42.0
2308	52.0
19	6.0
2187	43.0
743	24.0
2786	3.0
692	32.0
2476	80.0
1538	18.0
2655	15.0
1342	38.0
2666	10.0
2102	33.0
1549	26.0
1789	16.0
2791	5.0
1455	0.0
2470	32.0
2837	86.0
2083	59.0
378	20.0
2397	4.0
2326	41.0
1279	73.0
2936	17.0
233	41.0
859	57.0
1966	17.0
680	36.0
2780	6.0
2890	30.0
1604	2.0
518	20.0
1119	9.0
1176	26.0
2943	2.0
2807	n5938122
1179	36.0
403	16.0
327	13.0
1706	24.0
150	22.0
2342	27.0
216	48.0
495	6.0
2867	16.0
452	26.0
1037	5.0
1251	16.0
240	54.0
1111	22.0
1144	89.0
1418	25.0
456	16.0
1993	15.0
1946	32.0
236	0.0
1121	4.0
1361	17.0
2909	0.0
53	4.0
2960	23.0
493	34.0
35	17.0
1684	29.0
1818	16.0
2027	8.0
2821	31.0
1444	21.0
2370	10.0
1049	0.0
2499	35.0
541	31.0
3036	15.0
68	46.0
177	6.0
1248	55.0
2770	n5794338
977	5.0
2990	6.0
650	6.0
2566	15.0
1859	26.0
1908	56.0
1712	n2268892
2572	2.0
1260	61.0
2301	26.0
2812	52.0
747	9.0
738	30.0
583	48.0
1079	14.0
1855	44.0
620	99.0
925	44.0
2296	36.0
1949	7.0
1666	1.0
1115	33.0
1558	12.0
891	15.0
1016	10.0
717	11.0
950	15.0
919	41.0
892	7.0
387	7.0
410	13.0
1591	26.0
3046	62.0
159	13.0
2327	35.0
3016	40.0
2393	33.0
1729	9.0
1082	17.0
2388	96.0
454	60.0
2348	19.0
384	15.0
194	37.0
520	53.0
2158	32.0
1090	7.0
773	7.0
72	20.0
102	22.0
2085	28.0
1553	19.0
1424	0.0
2878	31.0
1520	7.0
531	6.0
95	26.0
2200	20.0
427	33.0
1780	20.0
1643	28.0
860	18.0
2443	35.0
2581	6.0
2311	16.0
2408	8.0
2912	0.0
3001	57.0
2615	6.0
719	35.0
1735	n2337590
2146	14.0
