GeneID	Sp_num	aln_length	average_node_support	Rafflesiaceae_best_compositional_homogeneity_pvalue	Apodanthaceae_best_compositional_homogeneity_pvalue
2157	38	693	67.0	98.56	36.77
1835	29	1170	73.38461538461539	41.21	40.98
2249	31	648	68.92857142857143	96.53	NA
10	30	687	65.44444444444444	56.95	89.68
2250	33	909	69.93333333333334	85.48	NA
1562	14	2130	73.0	21.2	NA
1504	29	1719	64.15384615384616	47.03	NA
1247	33	1044	68.8	87.24	NA
2282	33	1524	71.63333333333334	75.14	31.63
407	30	1008	70.25925925925925	65.84	NA
2380	40	1815	69.91891891891892	89.72	32.98
2496	36	1263	64.66666666666667	9.39	0.2
123	28	1035	72.72	98.02	NA
40	25	1173	70.0	95.41	31.25
1258	35	1311	70.125	80.71	9.22
937	11	2091	60.75	82.3	NA
1400	33	1302	72.96666666666667	60.42	NA
1761	29	2130	71.6923076923077	45.07	8.73
46	30	1650	70.03703703703704	19.07	16.81
1261	35	831	70.375	75.43	38.38
1072	33	1074	71.6	75.58	34.65
887	32	1578	76.27586206896552	96.73	NA
1890	36	873	69.3030303030303	94.85	55.71
703	28	1431	70.12	7.83	NA
434	28	477	68.2	85.49	NA
739	29	1665	69.73076923076923	15.22	NA
120	29	2256	73.0	68.13	7.67
247	29	876	71.76923076923077	74.48	24.56
2047	35	894	65.78125	99.12	61.36
1168	32	522	64.55172413793103	70.13	NA
1992	39	843	73.86111111111111	87.95	41.31
1659	36	1455	67.45454545454545	42.33	37.14
1015	33	2091	72.1	99.18	76.67
2936	37	1746	71.20588235294117	27.4	12.82
1966	37	648	69.73529411764706	90.71	86.09
2792	39	1326	75.5	93.95	25.51
199	28	1206	74.04	72.61	NA
2664	38	1938	74.37142857142857	77.81	0
266	29	765	68.8076923076923	89.33	6.15
392	29	729	63.61538461538461	27.04	74.44
2362	28	1371	67.44	96.03	NA
1210	33	771	63.86666666666667	92.94	NA
2214	34	1629	76.45161290322581	39.33	NA
927	34	819	68.58064516129032	96.14	63.57
2684	35	1590	80.59375	57.59	NA
1017	28	1827	78.08	56.58	1.02
2442	38	810	70.8	98.9	47.07
2584	38	2580	78.48571428571428	69.68	NA
1982	35	1026	66.96875	98.2	0.01
951	30	1842	71.5925925925926	98.13	0.01
84	30	1275	78.03703703703704	97.19	91.67
1940	37	450	73.1470588235294	77.11	19.95
1249	28	843	72.08	94.52	NA
450	32	2112	77.79310344827586	60.99	25.16
1994	29	876	67.42307692307692	80.0	57.76
1937	38	1068	71.74285714285715	97.26	0.16
2175	36	378	61.666666666666664	92.94	72.61
1270	34	3168	65.03225806451613	87.25	69.12
757	30	816	56.77777777777778	88.2	23.78
2187	40	618	65.89189189189189	82.34	97.33
1499	30	726	64.18518518518519	33.85	74.87
2200	36	1008	68.0	74.24	64.99
1217	31	1311	76.5	97.5	NA
2420	40	1212	73.72972972972973	90.56	10.65
1271	27	1533	74.25	97.43	46.11
297	31	2082	79.17857142857143	93.97	2.36
2443	38	1434	75.48571428571428	78.69	0.96
2270	36	1092	74.18181818181819	51.64	6.71
2817	25	1614	84.31818181818181	25.2	11.36
34	29	1425	70.38461538461539	93.07	10.09
1996	36	657	76.21212121212122	95.54	4.69
116	31	1902	68.96428571428571	49.02	95.88
1113	32	1359	74.44827586206897	17.64	0.25
2981	29	2832	74.92307692307692	72.65	0.01
2905	25	1761	75.9090909090909	0	0.05
2379	36	780	70.87878787878788	86.97	NA
2113	31	1008	72.75	85.41	NA
1361	37	1275	73.6470588235294	90.53	45.86
561	29	1182	73.92307692307692	90.44	NA
928	31	987	71.60714285714286	76.65	NA
2610	39	942	69.05555555555556	97.99	23.16
23	27	657	67.5	98.72	NA
802	25	1203	74.13636363636364	41.72	6.66
1509	31	1968	71.25	12.31	NA
3078	29	3231	65.6923076923077	53.72	24.68
1087	32	780	73.72413793103448	95.39	NA
1789	27	1410	74.70833333333333	87.23	NA
2347	32	1311	64.55172413793103	70.2	86.44
2794	39	960	71.63888888888889	99.97	0.01
1975	38	540	74.6	98.78	87.9
1803	32	1983	67.96551724137932	87.88	24.96
926	32	1296	76.62068965517241	71.98	NA
2324	39	3156	73.16666666666667	87.01	79.14
706	30	573	70.11111111111111	94.95	NA
1218	34	918	74.25806451612904	96.96	98.07
2470	37	732	77.73529411764706	97.59	NA
3022	14	591	65.81818181818181	98.27	NA
1943	35	1047	67.9375	83.84	13.67
1379	36	960	73.06060606060606	95.25	49.64
2348	34	3132	62.0	23.12	34.1
210	31	522	83.85714285714286	96.7	71.96
318	30	2025	61.7037037037037	63.55	37.3
1073	34	579	74.12903225806451	60.95	NA
698	31	381	71.75	96.51	40.78
1294	32	1452	75.41379310344827	94.2	4.78
2486	38	951	73.02857142857142	99.14	NA
627	28	1065	69.0	64.41	NA
1041	28	1308	72.8	14.95	0.07
2836	14	2712	88.27272727272727	64.58	6.0
2791	34	1254	63.32258064516129	91.95	22.69
1233	24	1932	69.42857142857143	13.11	NA
2144	38	1248	73.77142857142857	93.6	16.79
2867	30	1296	71.29629629629629	48.27	5.31
962	31	882	71.64285714285714	98.02	0.14
2798	39	396	71.80555555555556	91.0	26.43
2106	27	1686	72.83333333333333	57.34	0.08
2898	41	1023	78.07894736842105	69.98	51.0
2863	36	2733	70.72727272727273	49.77	0
1097	33	891	73.46666666666667	93.8	NA
2427	38	888	80.05714285714286	98.99	NA
1633	31	570	69.17857142857143	29.18	NA
145	29	1359	74.88461538461539	95.52	60.08
420	31	2169	71.35714285714286	50.9	21.38
2954	38	1659	65.8	10.75	42.34
1863	35	1074	75.0	85.83	77.19
158	31	2028	78.17857142857143	46.3	60.91
1915	32	444	69.06896551724138	85.88	63.63
2055	38	876	76.48571428571428	74.35	32.13
182	29	1197	73.6923076923077	76.24	NA
240	27	2994	68.125	0.02	NA
1246	34	3783	72.58064516129032	70.52	32.3
1636	29	435	74.1923076923077	96.72	NA
2762	40	990	71.4054054054054	93.72	58.24
1585	13	1335	77.0	51.31	NA
1543	29	1797	70.84615384615384	37.15	NA
2668	39	1059	66.91666666666667	37.15	75.25
221	30	777	68.5925925925926	99.05	5.11
2917	34	810	68.74193548387096	66.13	46.31
941	30	636	74.51851851851852	80.78	NA
378	31	939	78.0	92.57	NA
227	31	1191	76.78571428571429	99.35	12.25
1287	29	1806	73.34615384615384	83.65	NA
2959	35	906	81.625	92.71	NA
2890	38	2301	74.37142857142857	81.55	1.07
1763	36	1767	78.39393939393939	10.5	0.01
166	28	384	68.36	78.01	1.39
882	31	981	68.42857142857143	62.92	NA
839	32	945	74.03448275862068	81.13	24.99
2635	41	690	60.5	72.58	32.85
1011	30	1824	68.74074074074075	63.35	NA
202	30	3516	71.81481481481481	51.59	0.18
1950	36	621	67.42424242424242	92.58	NA
692	32	798	68.86206896551724	83.56	79.83
