Sp,RecoveredGeneNo,AveLengthCov
I10359_RG39_Malpighiales_Rafflesiaceae_Sapria_himalayana_seq1,5,61
I10361_RG64_Malpighiales_Rafflesiaceae_Sapria_himalayana_seq1,8,75
I10358_RG33_Malpighiales_Rafflesiaceae_Sapria_himalayana_seq1,17,63
I10360_RG51_Malpighiales_Rafflesiaceae_Sapria_himalayana_seq1,17,65
I10362_RG103_Malpighiales_Rafflesiaceae_Sapria_himalayana_seq1,25,66
I8642_2226_Malpighiales_Rafflesiaceae_Rhizanthes_lowii_seq1,39,66
I8640_2218_Malpighiales_Rafflesiaceae_Rafflesia_tuan_mudae_seq1,44,70
I8641_2219_Malpighiales_Rafflesiaceae_Rafflesia_cantleyi_seq1,89,73
I8651_KW143_Malpighiales_Lophopyxidaceae_Lophopyxis_maingayi_seq1,259,79
I10330_CP26_Malpighiales_Ochnaceae_Ouratea_sp_seq1,262,81
I8617_262_Malpighiales_Goupiaceae_Goupia_glabra_seq1,288,78
I8613_257_Malpighiales_Calophyllaceae_Calophyllum_soulattri_seq1,289,83
I8597_216_Malpighiales_Hypericaceae_Hypericum_empetrifolium_seq1,305,86
I10341_CP83_Vitales_Vitaceae_Ampelocissus_thyrsifolia_seq1,312,78
I8653_KW795_Celastrales_Parnassiaceae_Parnassia_sp_seq1,313,87
I8595_214_Malpighiales_Humiriaceae_Humiria_balsaminifera_seq1,315,83
I8629_573_Oxalidales_Oxalidaceae_Dapania_racemosa_seq1,316,82
I8594_213_Malpighiales_Humiriaceae_Vantanea_guianensis_seq1,318,79
I8637_1347_Malpighiales_Peraceae_Clutia_myricoides_seq1,323,82
I8602_221_Malpighiales_Linaceae_Linum_arboreum_seq1,324,84
I8621_344_Malpighiales_Pandaceae_Microdesmis_puberula_seq1,326,80
I8599_218_Malpighiales_Violaceae_Viola_kitaibeliana_seq1,329,83
I8612_254_Celastrales_Celastraceae_Stackhousia_minima_seq1,329,87
I8615_260_Malpighiales_Phyllanthaceae_Phyllanthus_calycinus_seq1,329,83
I8598_217_Malpighiales_Clusiaceae_Clusia_gundlachii_seq1,330,87
I8649_CP70_Malpighiales_Medusagynaceae_Medusagyne_oppositifolia_seq1,340,85
I8603_222_Malpighiales_Euphroniaceae_Euphronia_quianensis_seq1,340,83
I8614_259_Malpighiales_Phyllanthaceae_Lachnostylis_bilocularis_seq1,342,84
I8620_342_Malpighiales_Scyphostegiaceae_Scyphostegia_borneensis_seq1,343,81
I8605_237_Malpighiales_Euphorbiaceae_Endospermum_moluccanum_seq1,344,85
I8632_733_Malpighiales_Euphorbiaceae_Neoscortechina_kingii_seq1,344,86
I8652_KW534_Malpighiales_Ixonanthaceae_Ochthocosmus_sp_seq1,345,85
I8645_CP61_Malpighiales_Caryocaraceae_Anthodiscus_peruanus_seq1,347,82
I8616_261_Malpighiales_Chrysobalanaceae_Atuna_racemosa_seq1,348,85
I8622_346_Malpighiales_Achariaceae_Erythrospermum_phytolaccoides_seq1,348,83
I8633_734_Malpighiales_Pandaceae_Galearia_filiformis_seq1,348,84
I8601_220_Malpighiales_Turneraceae_Turnera_ulmifolia_seq1,349,85
I13020_2310_Malpighiales_Elatinaceae_Elatine_alsinastrum_seq1,351,86
I8648_CP66_Malpighiales_Picrodendraceae_Podocalyx_loranthoides_seq1,352,85
I8643_CP59_Malpighiales_Dichapetalaceae_Dichapetalum_zenkeri_seq1,353,87
I8638_2169_Malpighiales_Elatinaceae_Bergia_texana_seq1,353,85
I8610_248_Malpighiales_Ochnaceae_Cespedisia_bonplandii_seq1,355,82
I8646_CP63_Malpighiales_Ctenolophonaceae_Ctenolophon_englerianus_seq1,355,88
I8644_CP60_Malpighiales_Balanopaceae_Balanops_pachyphylla_seq1,356,88
I8624_354_Malpighiales_Malesherbiaceae_Malesherbia_linearifolia_seq1,357,86
I8608_245_Malpighiales_Quiinaceae_Quiina_pteridophylla_seq1,358,89
I8604_226_Celastrales_Celastraceae_Elaeodendron_orientale_seq1,360,89
I10338_CP78_Malpighiales_Ochnaceae_Ochna_jabotapita_seq1,360,87
I8606_241_Malpighiales_Picrodendraceae_Androstachys_johnsonii_seq1,361,88
I8619_341_Malpighiales_Salicaceae_Dovyalis_rhamnoides_seq1,362,89
I8607_242_Celastrales_Celastraceae_Maytenus_senegalensis_seq1,362,85
I8623_350_Malpighiales_Caryocaraceae_Caryocar_glabrum_seq1,363,87
I8647_CP64_Malpighiales_Trigoniaceae_Trigonia_sp_seq1,365,87
I8593_212_Malpighiales_Achariaceae_Acharia_tragodes_seq1,366,88
I10353_WHZ5_Malpighiales_Centroplacaceae_Bhesa_paniculata_seq1,367,91
I8618_340_Malpighiales_Salicaceae_Abatia_parviflora_seq1,368,82
I8600_219_Malpighiales_Passifloraceae_Passiflora_coccinea_seq1,368,90
I8655_MA26_Malpighiales_Samydaceae_Casearia_sp_seq1,369,90
I8626_570_Malpighiales_Ixonanthaceae_Ixonanthes_chinensis_seq1,371,90
I13012_633_Malpighiales_Malpighiaceae_Byrsonima_coccolobifolia_seq1,372,92
I8634_928_Malpighiales_Erythroxylaceae_Erythroxylum_sp_seq1,372,90
I8631_576_Malpighiales_Rhizophoraceae_Carallia_brachiata_seq1,376,90
I10363_SM308_Malpighiales_Irvingiaceae_Irvingia_malayana_seq1,377,92
I8650_KW041_Malpighiales_Peraceae_Pera_bicolor_seq1,379,88
I8668_690_Malpighiales_Malpighiaceae_Hiraea_fagifolia_seq1,380,89
I8654_KW1098_Malpighiales_Centroplacaceae_Centroplacus_glaucinus_seq1,381,90
I10343_CP85_Vitales_Vitaceae_Cayratia_mollisimo_seq1,383,88
I8656_SM324_Malpighiales_Bonnetiaceae_Ploiarium_alternifolium_seq1,384,94
I10364_2649_Malpighiales_Malpighiaceae_Acridocarpus_natalitius_seq1,385,91
I10344_CP86_Vitales_Vitaceae_Cissus_quadrangularis_seq1,385,89
I10354_BM1_Vitales_Vitaceae_Tetrastigma_sp_seq1,387,90
I8636_1101_Malpighiales_Rafflesiaceae_Sapria_himalayum_seq1,387,85
I8611_251_Malpighiales_Putranjivaceae_Putranjiva_roxburgii_seq1,387,93
I8658_Tetra_Vitales_Vitaceae_Tetrastigma_rafflesiae_seq1,387,90
I8628_572_Oxalidales_Oxalidaceae_Averrhoa_carambola_seq1,389,92
I10350_CP94_Vitales_Vitaceae_Tetrastigma_hookeri_seq1,390,91
I10351_CP95_Vitales_Vitaceae_Tetrastigma_obovatum_seq1,391,94
I10357_RG2_Vitales_Vitaceae_Tetrastigma_sp_seq1,391,88
I10342_CP84_Vitales_Vitaceae_Ampelopsis_brevipedunculata_seq1,392,85
I10329_CP24_Malpighiales_Lacistemataceae_Lacistema_robustum_seq1,392,95
I10355_GG16_Vitales_Vitaceae_Tetrastigma_sp_seq1,393,90
I10383_2253_Malpighiales_Elatinaceae_Bergia_capensis_seq1,393,89
I10345_CP87_Vitales_Vitaceae_Clematocissus_angustissima_seq1,395,92
I10352_CP96_Vitales_Vitaceae_Tetrastigma_obtectum_seq1,395,86
I10346_CP88_Vitales_Vitaceae_Cyphostemma_juttae_seq1,396,91
I10356_KG51_Vitales_Vitaceae_Tetrastigma_sp_seq1,396,91
I10347_CP89_Vitales_Vitaceae_Leea_guineense_seq1,397,94
