Gene_ID,sp_num,root2tip_variance,tree_legnth,spTr_bipartition,aln_length,average_node_support,Rafflesiaceae_best_compositional_homogeneity_pvalue,stem_raff_branch_len,ancestor_of_stem_raff_bran_len,raff_placement_SHaLRT,raff_placement_UFBP
59,27,0.0115791,3.25014,0.219512195,1811,74,1.31,0.373659602,0.04023726,98.8,100
183,28,0.0609679,5.83835,0.170731707,2028,70,23.65,0.46078152,0.089669814,100,100
510,28,0.0103726,3.56537,0.170731707,324,65.42,26,0.307115113,0.068400117,98.5,100
620,30,0.00911852,5.94225,0.170731707,773,61.39,87.29,0.405366685,0.120965422,99.5,100
951,28,0.0145488,4.11279,0.170731707,1848,71.31,25.63,0.295969893,0.040712887,99.5,100
963,31,0.0129993,4.72912,0.268292683,2336,66.66,53.97,0.376268117,0.033672187,97.9,100
1113,30,0.268292683,,,1365,68.18,0,,,99.1,100
1632,35,0.0189062,5.50155,0.317073171,1213,67.52,48.75,0.347808364,0.069839508,99.2,100
1679,31,0.268292683,,,3603,69.03,1.65,0.446327472,0.052062806,100,100
1693,26,0.0209865,3.90223,0.170731707,1890,75.96,0.12,0.520942447,0.039605594,99.9,100
1738,35,0.0312953,4.60973,0.365853659,3873,76.39,33.26,0.469073393,0.037134455,100,100
1774,32,0.0327961,5.30422,0.243902439,1895,72.5,0.76,0.554747176,0.06335808,99.8,100
1975,36,0.219512195,,,547,64.91,84.09,0.366499461,0.17311419,98.5,100
1979,33,0.0190497,4.3278,0.317073171,1680,71.13,3.92,0.418888059,0.05542028,99.6,100
2248,37,0.0911119,6.74322,0.341463415,2220,74.53,0.1,0.361175385,0.029876702,98.2,100
2745,40,0.0152644,6.6815,0.56097561,964,71.87,73.46,0.355756764,0.046133773,99,100
2907,40,0.487804878,,,1818,72,0.03,0.666964866,0.041829327,98.7,100
3036,41,0.0168283,5.84871,0.512195122,1074,72.08,45.07,0.423096151,0.039015045,98.5,100
34,27,0.00685903,3.59927,0.146341463,1434,67.16,94.74,0.332420286,0.03865681,97.2,99
320,26,0.0108831,3.45581,0.170731707,2414,68.33,0.05,0.407281296,0.030272951,97.5,99
413,29,0.0156927,3.17601,0.243902439,734,77.56,83.89,0.324096895,0.038709462,95.3,99
486,31,0.0268371,6.49044,0.268292683,1184,73.1,89.41,0.470818563,0.036972942,94.6,99
520,29,0.0110399,3.10897,0.195121951,1793,69.48,95.22,0.269683089,0.027651795,97.4,99
677,24,0.0266042,3.23082,0.195121951,2394,70.32,3.14,0.506287588,0.027334424,98.1,99
889,31,0.12195122,,,882,66.14,73.27,0.273435277,0.037131739,98.8,99
1035,32,0.0218094,4.66484,0.341463415,1071,74.1,88.19,0.501156125,0.048418663,98.2,99
1083,29,0.0234613,5.17496,0.243902439,885,70.3,97.59,0.41355998,0.043854035,95.5,99
1301,32,0.0315583,4.88145,0.268292683,1659,69.3,28.54,0.617513253,0.06488399,98,99
1502,29,0.146341463,,,2808,65.85,78.14,0.190703234,0.047591013,100,99
1510,24,0.170731707,,,1135,69.61,65.19,,,93.2,99
1523,33,0.00352947,3.36803,0.268292683,2946,78.68,69.8,0.212454254,0.018764671,97.8,99
2430,35,0.827149,10.148,0.243902439,876,72.45,40.99,0.023575322,0.035443991,96.7,99
2641,36,0.013895,6.71774,0.243902439,1536,71.5,99.52,0.411321275,0.056113032,98.7,99
209,29,0.00787754,4.06554,0.219512195,1169,67,48.69,0.26601887,0.026698348,95.8,98
225,29,0.0193226,3.56486,0.219512195,1721,72.15,68.39,0.365292681,0.028898331,97.5,98
681,30,0.219512195,,,1255,70.79,77.77,0.317135016,0.024025588,94.7,98
684,32,0.219512195,,,783,69.4,46.93,0.287106695,0.028954834,96.2,98
845,33,0.00403083,3.36327,0.268292683,1467,67.97,96.79,0.247569001,0.040232434,99.2,98
1011,30,0.00824388,4.07225,0.219512195,1881,71.46,38.6,0.262896078,0.029357832,95.7,98
1159,31,0.00214165,2.98653,0.243902439,1503,67.47,58.13,0.152088274,0.025425076,93.3,98
1791,34,0.0131431,4.59951,0.268292683,1446,76.44,31.22,0.331843092,0.046001191,99.4,98
2258,35,0.0119628,3.88743,0.317073171,1743,71.88,1.18,0.331224405,0.056276182,99.5,98
2284,28,0.0253189,4.37886,0.292682927,1548,82.19,96.44,0.53467003,0.046427397,97.4,98
2876,37,0.00573019,4.17338,0.414634146,1304,69.97,27.36,0.256985448,0.031306168,95.5,98
3041,27,0.0121106,3.76228,0.195121951,570,74.68,89.36,0.362383672,0.046023982,92,98
243,28,0.0167579,5.4829,0.170731707,766,67,97.74,0.302376569,0.051183184,95.2,97
758,16,0.0404213,3.08245,0.024390244,1899,40.29,51.65,0.03926205,0.045292055,98,97
981,18,0.00933831,3.27938,0.097560976,1062,67.75,0,,,95.5,97
1171,33,0.195121951,,,1560,70.71,85.39,0.221945293,0.050459378,98.4,97
1550,10,0.0118258,1.44331,0.024390244,1485,91.56,83.41,0.169103577,0.057384983,97.4,97
1708,35,0.00388892,3.112,0.268292683,1500,68.64,83.07,0.204067148,0.024585874,95.4,97
3061,28,0.0275547,3.6643,0.219512195,923,73.78,52.16,0.55971516,0.045680396,94,97
42,27,0.0572017,5.71181,0.146341463,994,67.04,39.03,0.346898028,0.074933703,94.2,96
138,28,0.0157707,4.77812,0.195121951,918,80.31,42.11,0.397465976,0.071141293,94.5,96
686,28,0.00681307,4.43927,0.219512195,921,65.81,9.23,,,91.8,96
1226,32,0.0185524,7.19854,0.317073171,1947,79.27,61.31,0.402748666,0.04858536,96.9,96
1615,33,0.00440437,4.06259,0.268292683,928,62.23,91.73,0.272126467,0.031749409,96,96
2744,37,0.024823,5.44345,0.390243902,792,71.86,53.2,0.521307087,0.048800558,92.2,96
2950,35,0.390243902,,,1161,72.18,64.07,0.197668737,0.026574507,98.4,96
298,29,0.0108416,3.98501,0.170731707,1237,63.78,61.86,0.365937401,0.027545413,94.5,95
610,26,0.0452547,5.37858,0.097560976,416,55.42,52.82,0.477052229,0.152261685,95.2,95
861,28,0.195121951,,,856,64.27,2,0.327919755,0.030717438,92.5,95
1235,31,0.0128107,6.47787,0.268292683,2845,72.28,58.14,0.173333717,0.081948843,96,95
1451,31,0.0235683,7.36105,0.243902439,1344,71.57,1.62,0.522719854,0.096061628,97,95
1555,34,0.0462903,6.60189,0.341463415,1320,73.66,0,0.631290157,0.100007559,98.2,95
336,28,0.219512195,,,3201,74.7,79.24,0.280113633,0.021068074,98.8,94
484,28,0.0829287,5.11261,0.170731707,909,61.81,83.79,,,94.6,94
598,28,0.0106694,4.47205,0.195121951,1318,62.04,71.82,,,39.8,94
689,30,0.0100615,3.67378,0.12195122,840,63.71,81.15,0.224893943,0.02219676,87.8,94
1248,28,0.00615084,3.42081,0.268292683,1041,74.92,98.65,0.233874405,0.05410258,96.5,94
3085,22,0.0515164,3.66145,0.195121951,2332,75,20.22,0.894569852,0.037514025,67,94
363,28,0.219512195,,,1962,74.31,0.61,0.425481842,0.032320891,98.8,93
428,30,0.021672,5.09037,0.219512195,752,71.04,63.41,0.36887912,0.063432628,91.2,93
474,28,0.0106474,4.01568,0.12195122,1374,59.38,28.26,0.244841502,0.044399759,91.5,93
576,29,0.0954627,6.70413,0.292682927,2136,73.81,80.84,0.013513105,0.050431433,99.2,93
736,11,0.121775,2.22369,0.073170732,1935,68.6,28.87,,,90.9,93
1543,29,0.0196998,5.81535,0.219512195,1836,78,2.91,0.547784949,0.034796851,91,93
1787,30,0.0302574,4.42297,0.195121951,1777,76.61,66.78,0.442959018,0.145057114,97.8,93
2807,38,0.00701874,3.5961,0.365853659,2724,68.94,0,0.203511814,0.027730335,94.2,93
2897,38,0.0248727,5.02773,0.390243902,735,67.69,27.91,0.326213775,0.018904395,89.1,93
253,28,0.0382661,4.72607,0.219512195,1372,73.58,93.74,0.381006401,0.089209346,97.9,92
1064,30,0.0144811,5.28148,0.195121951,808,71.32,68.32,,,97.7,92
1233,24,0.170731707,,,1994,61.09,16.57,0.424935909,0.060633143,96.5,92
2419,32,0.0031206,2.72871,0.219512195,615,71.67,94.74,0.15133403,0.01905704,91.5,92
2476,31,0.00958469,3.38499,0.268292683,1349,77,77.81,0.202293272,0.046164809,93.5,92
2529,20,0.150557,4.71384,0.12195122,1186,75.89,47.45,0.368192634,0.056097655,72.5,92
2917,33,0.00721143,4.33925,0.268292683,816,71.19,44.54,0.363292134,0.033389231,92.4,92
3037,37,0.268292683,,,708,64.64,86.06,0.51575616,0.053635233,93.6,92
128,27,0.0094302,3.79065,0.170731707,1341,72,53.14,0.356361683,0.033258318,86.9,91
492,28,0.0184972,4.77298,0.243902439,1088,69.81,9.94,0.39891485,0.084825339,91.8,91
509,31,0.0307922,4.57584,0.243902439,1239,68.45,65.72,0.508057293,0.042997715,90,91
563,30,0.0232451,5.02308,0.243902439,1459,72.93,13.14,0.458525694,0.069908199,92.7,91
781,31,0.268292683,,,1741,69.1,32.67,0.436175836,0.11179287,99.1,91
940,31,0.0139807,4.49036,0.268292683,2969,73.1,2.78,0.310417048,0.028818349,96.9,91
946,30,0.0203006,3.13634,0.292682927,1848,79.89,0.01,0.334347963,0.026680797,93.2,91
1077,33,0.0097139,3.30734,0.268292683,1567,70.19,97.35,0.264129617,0.048414267,98.7,91
1104,33,0.317073171,,,1681,74.58,46.99,0.352041758,0.017675964,89.5,91
1964,34,0.010863,4.18684,0.365853659,642,68.06,87.5,0.217537128,0.027948679,93,91
2127,14,0.00303874,1.35025,0.073170732,879,60.77,82.29,0.139559368,0.053525128,64.8,91
2343,29,0.0103692,4.73567,0.170731707,1559,70.5,13.85,0.391801191,0.026885131,90.8,91
2661,32,0.00459603,3.3944,0.268292683,1807,72.03,21,0.283097038,0.021021734,83.4,91
2962,27,0.0108792,3.93882,0.170731707,1667,63.88,90.11,0.284772054,0.046347839,88.6,91
14,28,0.0116018,4.42151,0.195121951,1672,76.31,97.8,0.28477344,0.033483549,93.2,90
648,30,0.0111708,3.75296,0.195121951,1641,77.57,25.49,0.426969534,0.019449444,83.5,90
871,31,0.00993156,4.48683,0.292682927,837,73.66,98.64,0.333129729,0.044500271,90.3,90
1707,34,0.0105313,3.92656,0.292682927,774,74.53,41.54,0.278933811,0.029593725,88.6,90
2198,32,0.00998919,3.90611,0.170731707,1110,64.84,0.01,0.276454927,0.034566393,92,90
2310,34,0.0161188,4.87768,0.243902439,921,66.09,100,0.358076814,0.036538692,93.7,90
3047,40,0.00407098,3.35325,0.463414634,1221,70.21,98.54,0.174965784,0.010927017,91,90
212,26,0.0123864,4.0872,0.170731707,1093,71.24,65.5,0.379476747,0.045089034,93.5,89
302,29,0.0430307,6.83538,0.195121951,921,70.74,69.35,0.553877754,0.085737686,95.8,89
309,28,0.0136999,5.31513,0.195121951,932,75.38,61.99,0.438943631,0.046832884,80.5,89
806,10,0.00672171,1.47496,0.073170732,1485,81.22,95.74,0.226199146,0.014072892,85.2,89
955,31,0.0230495,6.99224,0.195121951,647,69.3,71.48,0.483006843,0.041945998,76.3,89
1281,31,0.00864243,3.70045,0.243902439,3297,74.7,20.98,0.341764686,0.030705504,94.7,89
1445,35,0.0100021,4.14905,0.292682927,798,69.42,43.67,0.377332497,0.039612146,98.4,89
1536,32,0.0154708,5.68286,0.243902439,1053,69.07,54.86,0.230080233,0.03585725,87.9,89
1799,32,0.268292683,,,1530,67.13,99.16,0.236477748,0.017904154,93.8,89
2418,34,0.0180212,3.61029,0.243902439,522,66.91,27.76,0.546033055,0.047767931,77,89
2589,37,0.0115881,3.85866,0.317073171,1669,71.46,16.68,0.216338256,0.092614091,93.7,89
829,29,0.00531676,3.23306,0.292682927,2558,71.96,4.83,0.30864175,0.015411341,95.2,88
1179,33,0.0255571,7.16649,0.317073171,1138,72.52,20.25,0.409084823,0.041002542,87.2,88
1371,31,0.0109387,4.23297,0.219512195,483,63.28,88.94,0.28408918,0.066142395,90.1,88
1626,33,0.00625011,3.61372,0.292682927,1458,64.9,64.66,0.249859455,0.030447002,96.8,88
1673,27,0.044991,4.89685,0.268292683,542,74.28,31.77,0.422985075,0.034760361,82,88
2447,38,0.0130515,5.51807,0.487804878,1492,70.17,44.31,0.45262307,0.015213193,87,88
2473,35,0.00557129,4.87231,0.414634146,1224,73,35.93,,,85.8,88
2553,34,0.0252913,4.35433,0.292682927,2085,70.55,53.69,0.308090012,0.023272452,98.8,88
2636,38,0.317073171,,,1443,67.56,54.34,0.308271645,0.058984396,77.8,88
2751,35,0.00347987,2.81649,0.243902439,612,58.97,90.75,0.187939977,0.02615445,92.5,88
2754,35,0.00838181,4.1496,0.317073171,1443,62.76,85.06,0.216221462,0.025238886,95.3,88
56,26,0.0232779,3.83621,0.097560976,539,59.25,97.61,0.461954343,0.058261935,93.1,87
70,26,0.0201359,3.61609,0.12195122,539,63.33,96.74,0.445982242,0.054380687,91.6,87
135,29,0.170731707,,,930,76.67,81.72,0.226059875,0.045907513,89.5,87
213,28,0.00424387,3.16135,0.170731707,1149,75.69,72.27,0.215728855,0.01738464,91.5,87
290,29,0.00724153,3.11166,0.243902439,942,71.56,70.02,0.231690469,0.009093637,85.7,87
405,29,0.00726379,4.88271,0.170731707,1375,66.48,23.48,0.322110035,0.040551428,91.6,87
604,31,0.010087,3.57452,0.268292683,1137,75.72,89.42,0.288120637,0.025441284,91.2,87
645,30,0.195121951,,,1546,65.39,86,0.203890709,0.038687328,77.3,87
667,31,0.0322507,5.07996,0.243902439,2070,65.97,28.18,0.585749071,0.053060325,96.4,87
685,30,0.0364917,4.41486,0.219512195,1065,71.43,77.33,0.27212584,0.020548974,88.2,87
1078,33,0.0202338,5.15288,0.292682927,895,69.55,81.26,0.28711546,0.04244745,93.5,87
1425,34,0.0195301,6.10248,0.341463415,1580,76.34,12.37,0.362887146,0.049797161,89.5,87
1478,34,0.0289928,4.81758,0.268292683,1635,76.53,0.89,0.381082605,0.048499458,89,87
1515,27,0.00921602,3.40103,0.170731707,945,70.56,58.38,0.214813581,0.025456886,89.1,87
1692,29,0.0072948,3.48863,0.243902439,2208,73.3,96.15,0.335008287,0.036157947,94.4,87
1759,32,0.00407386,3.79842,0.219512195,990,69.23,74.33,0.240565319,0.015193135,78.8,87
1969,36,0.292682927,,,933,67.86,18.29,0.340282091,0.042812673,90.8,87
2268,37,0.0119967,3.8638,0.268292683,934,68.44,15.56,0.307490786,0.03469716,93.8,87
2481,38,0.0172945,5.00069,0.390243902,1035,72.33,38.08,0.409187128,0.016991606,84.1,87
2532,35,0.137095,7.48722,0.292682927,4178,72.65,0,0.364218911,0.12321768,76.2,87
2595,37,0.00955657,4.26004,0.365853659,1197,69.17,99.2,0.225623566,0.032663004,87.9,87
2605,27,0.0761874,5.8241,0.146341463,2378,63.56,0.87,0.744490019,0.025777246,95.5,87
221,28,0.00970634,4.27591,0.195121951,782,68.56,99.96,0.317271587,0.032570658,84,86
292,30,0.0135636,4.89738,0.268292683,1960,70.11,67.03,0.260034896,0.038203851,95.8,86
462,30,0.170731707,,,529,72.14,70.53,0.4592245,0.049508279,79.1,86
515,29,0.0112416,4.59706,0.292682927,1506,68.63,31.26,0.299310856,0.040970976,92.8,86
662,29,0.146341463,,,2293,66.33,88.55,0.225514024,0.029022223,93.2,86
1414,33,0.0271233,5.09913,0.195121951,579,60.48,66.23,0.427312063,0.128091731,92.8,86
1548,31,0.05494,4.93482,0.292682927,1878,73.03,0,0.144991171,0.108447353,88.1,86
1730,35,0.038942,5.42483,0.341463415,1482,69.39,57.98,0.525692833,0.047620025,98.9,86
1872,29,0.0338459,4.1838,0.219512195,1405,71.39,91.21,0.326532757,0.180213422,97.3,86
2057,30,0.00839242,3.08036,0.195121951,483,63.28,97.4,0.228144521,0.028255454,89.3,86
2169,22,0.00908224,4.02206,0.12195122,1559,72,13.37,,,91.8,86
2379,36,0.0421989,6.42563,0.219512195,820,67.12,2.77,0.401206087,0.050851679,83.8,86
2749,38,0.015489,4.42342,0.341463415,1360,71.39,24.49,0.368631952,0.018434614,91.8,86
2834,34,0.463414634,,,2385,70.5,21.99,0.623680036,0.072366451,94.5,86
2934,29,0.0177029,3.50011,0.243902439,2565,58.61,10.68,0.286803344,0.096716872,86.2,86
39,28,0.146341463,,,976,68.62,6,0.58158255,0.045222382,85.2,85
145,28,0.00522797,2.93705,0.195121951,1389,72.58,94.78,0.227539102,0.016424682,88.9,85
713,30,0.0237102,4.94875,0.170731707,1839,69.68,0.93,0.483907439,0.030516647,87.6,85
919,31,0.0330789,7.73876,0.268292683,1813,75.31,40.41,0.652233239,0.113357129,96.6,85
1269,32,0.0412478,5.3191,0.268292683,1560,64.33,0,0.82137298,0.026764558,59.4,85
1431,33,0.00800854,4.93858,0.365853659,1350,77.97,82.36,0.257035605,0.032549834,89.2,85
2227,35,0.0213033,4.423,0.43902439,2760,71.39,36.01,0.393445604,0.020619263,97.2,85
2578,40,0.00902767,5.20962,0.463414634,954,73.18,84.91,0.324706222,0.029103563,93.5,85
2608,39,0.0209623,5.27282,0.487804878,918,71.19,1.49,0.343014881,0.060390238,94.2,85
2872,36,0.00472638,3.54388,0.317073171,1425,71.37,49.8,0.142849323,0.05900724,83,85
2890,36,0.43902439,,,2480,73.35,0.74,0.42663489,0.030412063,92.8,85
2987,37,0.00666078,3.5005,0.292682927,906,63.06,99.63,0.140100771,0.05432427,88.3,85
3017,36,0.390243902,,,2145,73.71,92.55,0.213827662,0.029892167,77.2,85
313,23,0.0904064,5.32182,0.097560976,1998,70.19,82.27,0.228606067,0.014075157,92.2,84
588,18,0.0077358,2.02795,0.097560976,2283,61.24,57.57,,,85.2,84
1293,23,0.0209028,3.61787,0.12195122,2408,66.62,4.09,0.397699824,0.051238898,95.9,84
1763,35,0.043026,7.07871,0.292682927,1936,75.48,21.12,0.568571054,0.071234308,70,84
1909,35,0.292682927,,,1162,69.06,67.95,0.264708392,0.030468877,81.3,84
2402,28,0.0280254,4.69404,0.341463415,1251,73.38,0.01,,,96.3,84
2533,34,0.0122792,4.72359,0.292682927,2027,77.94,20.98,0.244974778,0.044740815,98.8,84
2668,37,0.268292683,,,1126,67.23,32.1,0.437613958,0.040142268,91.1,84
2708,15,0.0174402,1.93398,0.170731707,3138,72.79,18.73,0.322007121,0.01585705,81.7,84
2797,38,0.365853659,,,1762,70,77.4,0.169339282,0.104956805,92,84
2871,10,0.0197076,1.75847,0.073170732,2421,54.11,92.04,0.171131379,0.155987893,98.4,84
427,29,0.0268489,6.8857,0.195121951,858,73.37,34.14,0.568049659,0.081398091,86.9,83
524,30,0.0446693,4.39921,0.268292683,779,63.75,45.98,0.536403527,0.05161238,91.5,83
601,32,0.00822219,4.18388,0.292682927,885,71.13,50.58,0.298321021,0.055056434,92,83
831,31,0.00772814,3.65964,0.097560976,921,66,98.55,0.249259531,0.03052964,90.2,83
859,31,0.0115012,4.46027,0.243902439,657,68.38,83.36,0.309641123,0.038217908,89,83
1175,31,0.00956008,4.56211,0.292682927,801,66.31,49.56,0.346232906,0.040183055,87.8,83
1619,34,0.0118044,3.57413,0.268292683,820,73,54.66,0.337481986,0.023678658,87.8,83
1890,34,0.0182769,4.88408,0.243902439,882,64.88,92.36,0.320402678,0.043772816,89,83
2163,36,0.0146399,6.23519,0.268292683,768,67.79,85.28,0.357722069,0.037569881,96,83
2497,37,0.012233,4.48872,0.43902439,1266,72.31,89.69,0.251117344,0.020646427,92.2,83
3034,34,0.015227,5.18686,0.219512195,927,63.63,26.31,0.455258788,0.045887423,91.8,83
207,29,0.048525,6.56379,0.268292683,936,68.3,91.23,0.434288098,0.061867385,81.5,82
536,28,0.0171163,4.12035,0.195121951,3139,70.73,0,0.372624417,0.035401457,96.5,82
644,31,0.0439636,7.74661,0.146341463,1300,69.62,9.55,0.515058583,0.032301293,77.8,82
770,32,0.0133503,5.70163,0.243902439,1570,67.5,76.17,0.346815444,0.051103231,91,82
1103,28,0.00913446,3.72753,0.12195122,971,66.65,46.82,0.403339098,0.039835091,94.5,82
1365,33,0.0210869,5.42042,0.365853659,594,69.26,86.92,0.449080556,0.050256094,94,82
1397,33,0.0118605,5.10431,0.219512195,1211,72.32,20.13,0.403485228,0.009669314,75.8,82
